,date,price_pesos,exchange,price_usd,gas_price,coal_price,gas_rate,coal_rate,log_price
4419,2019-05-26,2950.7529303333336,52.2061,56.521228943233325,10.1454884942687,3.302045728038508,5.571070232366121,17.11703398390193,3.4669269019670512
4420,2019-05-27,3225.353996541666,52.21110000000001,61.775254620984164,10.1454884942687,3.302045728038508,6.0889384139444545,18.708176599868022,3.4808027964004626
4421,2019-05-28,4001.285959875,52.2596,76.56556804634938,10.1454884942687,3.302045728038508,7.546760127873797,23.187313063599248,3.557422247236442
4422,2019-05-29,3644.2752573333332,52.3306,69.63947016340981,10.1454884942687,3.302045728038508,6.864082513399915,21.089795811149255,3.543620435582694
4423,2019-05-30,5025.821548458333,52.150200000000005,96.37204744101332,10.1454884942687,3.302045728038508,9.499005148490877,29.185558098936614,3.6556864108177236
4424,2019-05-31,13749.388713,52.215,263.32258379775925,10.1454884942687,3.302045728038508,25.954648112460344,79.74528685712023,3.9955274733800343
4425,2019-06-01,7828.759444875,52.215,149.93315033754666,10.0423778769158,2.9077416766947457,14.930044674199605,51.56343547958392,3.8138126107916626
4426,2019-06-02,10519.860722083333,52.215,201.47200463627948,10.0423778769158,2.9077416766947457,20.062181199076253,69.28813733732166,3.864015087638089
4427,2019-06-03,8439.253830166666,51.8659,162.71295456488107,10.0423778769158,2.9077416766947457,16.202632141427966,55.95853162232702,3.8477379591689993
4428,2019-06-04,5581.435673208333,51.7672,107.81799427452775,10.0423778769158,2.9077416766947457,10.736301262111105,37.07963301509142,3.7354103783649673
4429,2019-06-05,8873.457090041667,51.7722,171.39424420908645,10.0423778769158,2.9077416766947457,17.06709768441066,58.94410964453754,3.8688169430252395
4430,2019-06-06,10042.027574333333,51.70340000000001,194.22373720748215,10.0423778769158,2.9077416766947457,19.34041315592596,66.79538927552117,3.9436863252031515
4431,2019-06-07,9976.489063625,51.987,191.90353479956525,10.0423778769158,2.9077416766947457,19.109372018423027,65.9974496144732,3.9635475575281593
4432,2019-06-08,10830.835968541667,51.987,208.33739143519855,10.0423778769158,2.9077416766947457,20.745822751213062,71.6492091113188,3.970296781917421
4433,2019-06-09,5384.268841291667,51.987,103.56952394428735,10.0423778769158,2.9077416766947457,10.313247043049477,35.618543687833956,3.7137454951825983
4434,2019-06-10,6018.079801083334,52.0919,115.52813011395885,10.0423778769158,2.9077416766947457,11.504061242260251,39.73122201325692,3.7189419412863636
4435,2019-06-11,9593.108590791666,51.9523,184.65224043577794,10.0423778769158,2.9077416766947457,18.387302559111436,63.50366056095936,3.885366357086394
4436,2019-06-12,4238.9044055,51.9429,81.60700318041542,10.0423778769158,2.9077416766947457,8.126262940971749,28.06542404866542,3.599143084366
4437,2019-06-13,6932.821387958334,51.87,133.65763231074482,10.0423778769158,2.9077416766947457,13.309360984909835,45.966130135285816,3.7657873423690984
4438,2019-06-14,8091.426546708334,51.96540000000001,155.7079623501086,10.0423778769158,2.9077416766947457,15.505088959859911,53.54944821890202,3.8200474245208107
